acc	Symbol	logFC_NtoIS	logFC_IStoC	logFC_CtoI	logFC_ItoA	adjPVal_NtoIS	adjPVal_IStoC	adjPVal_CtoI	adjPVal_ItoA
Q499Z4	ZNF672	0.000748651	-0.0554384	-0.0703355	0.0670343	0.996969	0.112478	0.0457678	0.0353397
Q6NTF9	RHBDD2	0.00143297	-0.100118	-0.0964747	0.149222	0.996969	0.0701882	0.0858003	0.00535422
Q8N163	KIAA1967	0.00114436	-0.0560516	0.131722	-0.148788	0.996969	0.10998	0.000831253	0.000104843
Q9BYJ9	YTHDF1	0.000528601	-0.066228	0.123788	-0.118835	0.996969	0.0433764	0.000723948	0.000301175
Q9GZP4	C1orf128	0.000597088	-0.0867403	0.0922552	-0.149801	0.996969	0.027367	0.0138708	0.000216564
Q9Y3E7	VPS24	0.00117698	0.150926	-0.174803	0.149451	0.996969	0.00387954	0.000723027	0.00069447
Q9NW82	WDR70	0.000419855	0.11221	-0.0887467	0.0413775	0.997611	0.00183502	0.00367912	0.103221
Q7L8J4	SH3BP5L	0.000554144	-0.152077	0.0769538	-0.119568	0.997729	0.003499	0.0784261	0.00428267
Q9GZS3	WDR61	-0.000453878	0.0870007	-0.101264	0.129172	0.997729	0.0207007	0.00576203	0.00039558
Q9Y2E5	MAN2B2	-0.000626495	-0.0641345	0.174209	-0.188708	0.997729	0.201601	0.00148259	0.00024987
Q9Y5Z4	HEBP2	0.000470987	0.0167416	0.153805	-0.178105	0.997948	0.757564	0.00254082	0.000280598
Q6NYC1	PTDSR	0.000230439	-0.111995	0.138858	-0.151579	0.998776	0.00765228	0.00128523	0.000196558
Q6UY27	C11orf38	0.00035928	-0.216687	0.146532	-0.0947377	0.998776	0.00216226	0.0114144	0.068797
Q9H213	MAGEH1	0.000233138	0.0348425	0.183004	-0.176546	0.998776	0.438522	0.00187139	0.000972728
Q13330	MTA1	-0.000152562	-0.155881	0.219976	-0.196119	0.998898	0.00923449	0.000505181	0.000324257
Q8N4V1	TMEM32	5.73E-05	0.0989763	-0.0993495	0.0704326	0.998995	0.00624242	0.00350904	0.015236
Q9BRY0	SLC39A3	-2.62E-05	-0.0765857	-0.0695145	0.097607	0.99966	0.0934637	0.0724653	0.00844194
Q9Y6X1	SERP1	-0.000029333	0.0408747	0.152457	-0.160683	0.99966	0.431301	0.00455381	0.00128585
